,rnn_test_rmse,rnn_train_r2,rnn_test_r2,cnn_test_rmse,cnn_train_r2,cnn_test_r2,lstm_test_rmse,lstm_train_r2,lstm_test_r2
0,8.183241466394238,0.78734609616143,0.35611041478649974,6.463940973425898,0.7591543399546952,0.638873347898351,8.954308792172265,0.5412261946517163,0.30700689757556077
1,8.65745255779531,0.7914479901893933,0.33531760101496544,7.165870870738807,0.7355918099663376,0.6107176284934163,9.725503252902529,0.51898354704208,0.28294750973045835
2,8.856007820420961,0.8023446003282271,0.33153111506084965,7.042360727838115,0.739343281266921,0.6404899361530574,10.101626606562911,0.492719196045724,0.2602974073322074
3,8.98310344266867,0.8064427757663343,0.31533446838650847,6.949229294656553,0.7396003105460622,0.6507831822394821,10.162016272323381,0.4707943969952204,0.2532389821346013
4,8.736592678618443,0.8094499658074703,0.33656628078343553,6.766377718347016,0.7276049140202626,0.6651421693541306,10.371726701739858,0.4320241660877461,0.21322579479325465
5,8.602150999633336,0.8171043410212603,0.4033297336259123,6.451777894332989,0.7389408180960741,0.713142984770643,10.757532790086557,0.40586530712654,0.2024975683034732
6,8.252591771978617,0.8355582853041267,0.4674559322811359,6.407027559809829,0.7517250136201488,0.7157509215588584,10.470359442441726,0.42373778757605685,0.2408823953608593
7,7.455351215222739,0.8750329871664388,0.5495180323754538,6.246388988603538,0.7715589088088695,0.7088278003153384,9.965702755047262,0.41558880470903614,0.2588472675237602
8,7.115461314122654,0.8916810127602203,0.5616020582261887,6.261439407539581,0.7813090023226841,0.6793903739339732,9.495494971834866,0.4473832955885163,0.2626674451303893
9,6.9348338694187115,0.9047061459478324,0.5445586027139324,5.699155388990246,0.8117649125002055,0.7102597837760114,8.698078844880559,0.4929665499996747,0.3251077151784022
10,7.040126619051809,0.9084798691895054,0.527167229466829,5.754088376106763,0.8195643738316254,0.7037316461901941,8.313725202418613,0.5103938919770853,0.38152302007799455
11,7.201337395029181,0.910653544602331,0.5306789943046427,5.620858817178526,0.8316262963178817,0.7297749092993232,8.395973606761988,0.5226899999386407,0.39707617357604985
12,7.4831336283119505,0.9064620321540738,0.5271703185782535,6.044919721794297,0.8245019471748031,0.7073827320211766,8.657205824234095,0.5314520795556714,0.3998298912742353
13,7.68953851386724,0.9050608184681944,0.5127486351494768,6.057638608215977,0.8201256747069829,0.7119624786197518,8.757006001705186,0.5278209432242609,0.3980593966179392
14,8.073796013407089,0.8948045979049247,0.514932740816384,6.308771133168058,0.7986618370143279,0.7127000574140355,9.44751649850533,0.5062565608557944,0.3557101166025003
15,8.154987612551292,0.8893154606942189,0.5401248258912266,6.545870364848427,0.7854217149547484,0.7113681296307537,9.931886972941305,0.4847027805479569,0.3355336071114421
16,8.23477066887794,0.893728988862432,0.5576209987244527,6.739883641036084,0.7815828298988451,0.712167646476926,10.218449450035548,0.4824936284203585,0.3383858075076689
17,8.086353290583132,0.8928713718740708,0.5661192190481212,7.013500612938678,0.7872088036779352,0.6806792662439864,9.63720973936871,0.5176220524371706,0.3970794846465202
18,8.218413677165927,0.8674232470043095,0.5130835487602965,7.212440295390853,0.796824715845375,0.6311375915052928,9.175099971075934,0.5233376475577203,0.4030725570614164
19,7.629591609650744,0.8589536430431147,0.45894937461874563,6.868018551639437,0.7956101401937903,0.5745205836270737,8.63987982202837,0.5141556355527122,0.32666523379587764
20,7.108115379325017,0.8485834557532513,0.33252560647163376,6.498007887622962,0.7792023985101892,0.47356192113589346,7.7919860335749656,0.5353021647198961,0.24302217380197155
21,6.299555446455425,0.8477366705010958,0.43235912847276925,5.831140863731549,0.790803646243287,0.5396802140182106,7.19808374375225,0.5760160197731301,0.2985667208669964
22,6.724235315978827,0.8314186470105823,0.3982867005316967,5.551648957748491,0.7919541715373777,0.6040225937217002,7.586931836386952,0.5915270221033238,0.2604649243450856
23,7.798329829846657,0.7832206476064406,0.3439600454371924,6.450896746618972,0.7386874222690323,0.56787593267526,8.391750151516604,0.5510284480329823,0.2687373968334319
